Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2015-03-28T04:00:00Z,VLY,6.920842885,3005,Market On Open,Filled,20797.132869425, 
2015-03-30T04:00:00Z,BOH,49.05657289,-426,Market On Open,Filled,-20898.10005114, 
2015-03-30T04:00:00Z,VLY,6.920842885,3005,Market On Open,Filled,20797.132869425, 
2015-04-02T04:00:00Z,BOH,48.839792617,852,Market On Open,Filled,41611.503309684,Liquidated 
2015-04-02T04:00:00Z,VLY,6.95785274,-6010,Market On Open,Filled,-41816.6949674,Liquidated 
2015-04-03T04:00:00Z,BOH,48.855850415,-427,Market On Open,Filled,-20861.448127205, 
2015-04-03T04:00:00Z,VLY,6.972656682,2989,Market On Open,Filled,20841.270822498, 
2015-04-21T04:00:00Z,BOH,48.446376566,427,Market On Open,Filled,20686.602793682,Liquidated 
2015-04-21T04:00:00Z,VLY,7.039274421,-2989,Market On Open,Filled,-21040.391244369,Liquidated 
2015-05-15T04:00:00Z,BOH,50.228792144,-424,Market On Open,Filled,-21297.007869056, 
2015-05-15T04:00:00Z,VLY,7.261333551,2928,Market On Open,Filled,21261.184637328, 
2015-05-16T04:00:00Z,BOH,49.811289396,424,Market On Open,Filled,21119.986703904,Liquidated 
2015-05-16T04:00:00Z,VLY,7.150303986,-2928,Market On Open,Filled,-20936.090071008,Liquidated 
2015-05-19T04:00:00Z,BOH,50.734612781,-421,Market On Open,Filled,-21359.271980801, 
2015-05-19T04:00:00Z,VLY,7.246529609,2944,Market On Open,Filled,21333.783168896, 
2015-07-18T04:00:00Z,QQQ,107.491989825,-549,Market On Open,Filled,-59013.102413925, 
2015-07-18T04:00:00Z,XLK,39.59937909,202,Market On Open,Filled,7999.07457618, 
2015-07-24T04:00:00Z,XLK,38.8817028,-202,Market On Open,Filled,-7854.1039656,Liquidated 
2015-07-24T04:00:00Z,QQQ,106.5006276,549,Market On Open,Filled,58468.8445524,Liquidated 
2015-10-29T04:00:00Z,QQQ,107.412803433,-538,Market On Open,Filled,-57788.088246954, 
2015-10-29T04:00:00Z,XLK,39.97645272,200,Market On Open,Filled,7995.290544, 
2015-10-31T04:00:00Z,XLK,39.912563412,-200,Market On Open,Filled,-7982.5126824,Liquidated 
2015-10-31T04:00:00Z,QQQ,107.545306671,538,Market On Open,Filled,57859.374988998,Liquidated 
2015-11-03T05:00:00Z,QQQ,108.255145446,-539,Market On Open,Filled,-58349.523395394, 
2015-11-03T05:00:00Z,XLK,40.06772316,199,Market On Open,Filled,7973.47690884, 
2015-11-10T05:00:00Z,XLK,39.848674104,-199,Market On Open,Filled,-7929.886146696,Liquidated 
2015-11-10T05:00:00Z,QQQ,106.892254998,539,Market On Open,Filled,57614.925443922,Liquidated 
2015-12-19T05:00:00Z,BMO,41.90955413,-520,Market On Open,Filled,-21792.9681476, 
2015-12-19T05:00:00Z,CM,49.896466048,437,Market On Open,Filled,21804.755662976, 
2015-12-23T05:00:00Z,BMO,41.621490575,520,Market On Open,Filled,21643.175099,Liquidated 
2015-12-23T05:00:00Z,CM,49.91138724,-437,Market On Open,Filled,-21811.27622388,Liquidated 
2016-01-30T05:00:00Z,WFC,41.42094726,-712,Market On Open,Filled,-29491.71444912, 
2016-01-30T05:00:00Z,BBT,28.743478723,495,Market On Open,Filled,14228.021967885, 
2016-02-02T05:00:00Z,BBT,28.09845138,-495,Market On Open,Filled,-13908.7334331,Liquidated 
2016-02-02T05:00:00Z,STI,31.92943485,-591,Market On Open,Filled,-18870.29599635,Liquidated 
2016-02-09T05:00:00Z,BBT,27.206016289,-740,Market On Open,Filled,-20132.45205386, 
2016-02-09T05:00:00Z,STI,28.790456607,698,Market On Open,Filled,20095.738711686, 
2016-02-10T05:00:00Z,BBT,28.180183518,740,Market On Open,Filled,20853.33580332,Liquidated 
2016-02-10T05:00:00Z,WFC,39.043136032,712,Market On Open,Filled,27798.712854784,Liquidated 
2016-04-06T04:00:00Z,BBT,29.534828646,-704,Market On Open,Filled,-20792.519366784, 
2016-04-06T04:00:00Z,WFC,39.467880046,524,Market On Open,Filled,20681.169144104, 
2016-04-07T04:00:00Z,BBT,0,704,Market On Open,Canceled,0,Liquidated 
2016-04-07T04:00:00Z,WFC,0,-524,Market On Open,Canceled,0,Liquidated 
2016-04-07T04:00:00Z,WFC,39.734386094,-524,Market On Open,Filled,-20820.818313256,Liquidated 
2016-04-07T04:00:00Z,STI,0,-698,Market On Open,Canceled,0,Liquidated 
2016-04-07T04:00:00Z,BBT,29.23181592,704,Market On Open,Filled,20579.19840768,Liquidated 
2016-04-07T04:00:00Z,STI,32.28438708,-698,Market On Open,Filled,-22534.50218184,Liquidated 
2016-04-12T04:00:00Z,BBT,29.14269453,-718,Market On Open,Filled,-20924.45467254, 
2016-04-12T04:00:00Z,WFC,39.284657138,532,Market On Open,Filled,20899.437597416, 
2016-04-13T04:00:00Z,BBT,29.775456399,718,Market On Open,Filled,21378.777694482,Liquidated 
2016-04-13T04:00:00Z,WFC,40.250741562,-532,Market On Open,Filled,-21413.394510984,Liquidated 
2016-04-14T04:00:00Z,STI,34.73017398,-514,Market On Open,Filled,-17851.30942572, 
2016-04-14T04:00:00Z,WFC,40.217428306,602,Market On Open,Filled,24210.891840212, 
2016-04-21T04:00:00Z,WFC,42.09962727,-602,Market On Open,Filled,-25343.97561654,Liquidated 
2016-04-21T04:00:00Z,STI,36.11611989,514,Market On Open,Filled,18563.68562346,Liquidated 
2016-04-22T04:00:00Z,STI,37.00384995,-511,Market On Open,Filled,-18908.96732445, 
2016-04-22T04:00:00Z,WFC,41.799807966,589,Market On Open,Filled,24620.086891974, 
2016-06-28T04:00:00Z,WFC,38.586843614,-589,Market On Open,Filled,-22727.650888646,Liquidated 
2016-06-28T04:00:00Z,STI,35.221308858,511,Market On Open,Filled,17998.088826438,Liquidated 
2016-06-29T04:00:00Z,BBT,30.77471415,-667,Market On Open,Filled,-20526.73433805, 
2016-06-29T04:00:00Z,WFC,39.149113845,528,Market On Open,Filled,20670.73211016, 
2016-07-12T04:00:00Z,BBT,32.131497168,667,Market On Open,Filled,21431.708611056,Liquidated 
2016-07-12T04:00:00Z,WFC,40.592553841,-528,Market On Open,Filled,-21432.868428048,Liquidated 
2016-07-13T04:00:00Z,BBT,32.320188846,-633,Market On Open,Filled,-20458.679539518, 
2016-07-13T04:00:00Z,WFC,40.567377562,504,Market On Open,Filled,20445.958291248, 
2016-07-28T04:00:00Z,QQQ,109.5509529,-186,Market On Open,Filled,-20376.4772394, 
2016-07-28T04:00:00Z,NBHC,17.99808857,1123,Market On Open,Filled,20211.85346411, 
2016-08-11T04:00:00Z,QQQ,111.718104648,186,Market On Open,Filled,20779.567464528,Liquidated 
2016-08-11T04:00:00Z,NBHC,19.40460918,-1123,Market On Open,Filled,-21791.37610914,Liquidated 
2016-08-12T04:00:00Z,QQQ,111.622635408,-185,Market On Open,Filled,-20650.18755048, 
2016-08-12T04:00:00Z,NBHC,19.57482505,1066,Market On Open,Filled,20866.7635033, 
2016-08-17T04:00:00Z,QQQ,111.775386192,185,Market On Open,Filled,20678.44644552,Liquidated 
2016-08-17T04:00:00Z,NBHC,20.08547266,-1066,Market On Open,Filled,-21411.11385556,Liquidated 
2016-08-30T04:00:00Z,BBT,34.587991761,633,Market On Open,Filled,21894.198784713,Liquidated 
2016-08-30T04:00:00Z,WFC,42.052104906,-504,Market On Open,Filled,-21194.260872624,Liquidated 
2016-09-01T04:00:00Z,BBT,34.95932134,-951,Market On Open,Filled,-33246.31459434, 
2016-09-01T04:00:00Z,BXS,22.1262425,601,Market On Open,Filled,13297.8717425, 
2016-09-03T04:00:00Z,BXS,22.046588027,-601,Market On Open,Filled,-13249.999404227,Liquidated 
2016-09-03T04:00:00Z,BBT,34.769128141,951,Market On Open,Filled,33065.440862091,Liquidated 
2016-09-10T04:00:00Z,BBT,34.497423571,-606,Market On Open,Filled,-20905.438684026, 
2016-09-10T04:00:00Z,WFC,40.90161481,508,Market On Open,Filled,20778.02032348, 
2016-11-02T04:00:00Z,BBT,35.158571358,606,Market On Open,Filled,21306.094242948,Liquidated 
2016-11-02T04:00:00Z,WFC,38.708985708,-508,Market On Open,Filled,-19664.164739664,Liquidated 
2016-11-03T04:00:00Z,BBT,35.068003168,-1012,Market On Open,Filled,-35488.819206016, 
2016-11-03T04:00:00Z,BXS,20.55370779,590,Market On Open,Filled,12126.6875961, 
2016-11-05T04:00:00Z,BXS,0,-590,Market On Open,Canceled,0,Liquidated 
2016-11-05T04:00:00Z,BBT,0,1012,Market On Open,Canceled,0,Liquidated 
2016-11-07T05:00:00Z,BXS,21.08757033,-590,Market On Open,Filled,-12441.6664947,Liquidated 
2016-11-07T05:00:00Z,BBT,35.3215941,1012,Market On Open,Filled,35745.4532292,Liquidated 
2016-11-08T05:00:00Z,BBT,35.61127133,-580,Market On Open,Filled,-20654.5373714, 
2016-11-08T05:00:00Z,WFC,38.538386388,533,Market On Open,Filled,20540.959944804, 
2016-11-08T05:00:00Z,BBT,35.61127133,-968,Market On Open,Filled,-34471.71064744, 
2016-11-08T05:00:00Z,BXS,21.221035965,580,Market On Open,Filled,12308.2008597, 
2016-11-09T05:00:00Z,BBT,36.021960005,1548,Market On Open,Filled,55761.99408774,Liquidated 
2016-11-09T05:00:00Z,WFC,39.519332478,-533,Market On Open,Filled,-21063.804210774,Liquidated 
2017-01-25T05:00:00Z,STI,52.546645296,-521,Market On Open,Filled,-27376.802199216, 
2017-01-25T05:00:00Z,BBT,42.501714655,420,Market On Open,Filled,17850.7201551, 
2017-01-26T05:00:00Z,BXS,26.72271537,-580,Market On Open,Filled,-15499.1749146,Liquidated 
2017-01-26T05:00:00Z,BBT,42.91240333,-420,Market On Open,Filled,-18023.2093986,Liquidated 
2017-03-02T05:00:00Z,BBT,45.625962973,-774,Market On Open,Filled,-35314.495341102, 
2017-03-02T05:00:00Z,BXS,28.912369305,489,Market On Open,Filled,14138.148590145, 
2017-03-03T05:00:00Z,BXS,27.97394619,-489,Market On Open,Filled,-13679.25968691,Liquidated 
2017-03-03T05:00:00Z,BBT,0,774,Market On Open,Canceled,0,Liquidated 
2017-03-03T05:00:00Z,BBT,44.578779607,774,Market On Open,Filled,34503.975415818,Liquidated 
2017-03-03T05:00:00Z,STI,55.06066619,521,Market On Open,Filled,28686.60708499,Liquidated 
2017-03-04T05:00:00Z,STI,54.94967543,-506,Market On Open,Filled,-27804.53576758, 
2017-03-04T05:00:00Z,BBT,44.220532666,407,Market On Open,Filled,17997.756795062, 
2017-03-10T05:00:00Z,BBT,44.450178141,-407,Market On Open,Filled,-18091.222503387,Liquidated 
2017-03-10T05:00:00Z,STI,55.09766311,506,Market On Open,Filled,27879.41753366,Liquidated 
2017-04-25T04:00:00Z,STI,52.95184175,-559,Market On Open,Filled,-29600.07953825, 
2017-04-25T04:00:00Z,BBT,40.481904333,427,Market On Open,Filled,17285.773150191, 
2017-04-27T04:00:00Z,BMO,56.944377376,-393,Market On Open,Filled,-22379.140308768, 
2017-04-27T04:00:00Z,CM,65.291894514,343,Market On Open,Filled,22395.119818302, 
2017-04-28T04:00:00Z,BMO,55.533310756,393,Market On Open,Filled,21824.591127108,Liquidated 
2017-04-28T04:00:00Z,CM,64.523942802,-343,Market On Open,Filled,-22131.712381086,Liquidated 
2017-05-05T04:00:00Z,BMO,54.435814496,-411,Market On Open,Filled,-22373.119757856, 
